openalex_id,doi,title,year,publication_date,type,cited_by_count,relevance_score,authors,source,dataset_mentioned,ml_match_count,matched_ml_terms,regime_selected,regime_match_count,matched_regime_terms,abstract
https://openalex.org/W2334591898,https://doi.org/10.1177/1358863x12442443,Red cell distribution width and risk of peripheral artery disease: Analysis of National Health and Nutrition Examination Survey 1999–2004,2012,2012-05-21,article,64,1038.0281,"Sandip Zalawadiya, Vikas Veeranna, Sidakpal Panaich, et al.",Vascular Medicine,True,4,risk prediction; prediction; predictive; logistic regression,S,2,survey; risk prediction,"Red cell distribution width (RDW) is an independent predictor of the 10-year estimated risk of coronary heart disease (CHD) events. However, RDW’s association with peripheral artery disease (PAD) – a CHD risk equivalent – has not been evaluated to date. In this cross-sectional study, we examined 6950 participants of the National Health and Nutrition Examination Survey, 1999–2004. PAD was defined as an ankle–brachial index below 0.9 ( n = 618). RDW was divided into quartiles (Q) (Q1: ≤ 12.2; Q2: 12.3–12.5; Q3: 12.6–13.0; Q4: ≥ 13.1) and PAD risk was compared across these quartiles using adjusted multivariate logistic regression. A graded increase in prevalent PAD with increasing RDW quartiles was observed (4.2% in Q1 vs 13.9% in Q4; test of trend p &lt; 0.001). Risk of PAD was significantly higher (odds ratio (OR) 1.19, 95% confidence interval (CI): 1.06–1.34; p = 0.003) after adjusting for age, sex, race, body mass index, hypertension, hyperlipidemia, diabetes, smoking, estimated glomerular filtration rate, C-reactive protein, hemoglobin, mean corpuscular volume, and nutritional factors (folate, iron and vitamin B 12 ) deficiencies with each unit (0.1) increase in RDW. Upon receiver-operating characteristics analysis, the predictive accuracy of the American College of Cardiology / American Heart Association (ACC/AHA)-defined PAD screening criteria (for a high-risk population) was 0.657 at best, but improved significantly (0.727) after addition of RDW ( p &lt; 0.0001). In conclusion, higher levels of RDW are independently associated with a higher risk of PAD and can significantly improve the risk prediction beyond that estimated by ACC/AHA-defined PAD screening criteria."
https://openalex.org/W4224075646,https://doi.org/10.1002/hep4.1935,Predicting NAFLD prevalence in the United States using National Health and Nutrition Examination Survey 2017–2018 transient elastography data and application of machine learning,2022,2022-04-01,article,79,1037.1665,"Mazen Noureddin, Fady Ntanios, Deepa Malhotra, et al.",Hepatology Communications,True,4,machine learning; predictive modeling; predictive; logistic regression,S,2,cohort; survey,"This cohort analysis investigated the prevalence of nonalcoholic fatty liver disease (NAFLD) and NAFLD with fibrosis at different stages, associated clinical characteristics, and comorbidities in the general United States population and a subpopulation with type 2 diabetes mellitus (T2DM), using the National Health and Nutrition Examination Survey (NHANES) database (2017-2018). Machine learning was explored to predict NAFLD identified by transient elastography (FibroScan<sup>®</sup> ). Adults ≥20 years of age with valid transient elastography measurements were included; those with high alcohol consumption, viral hepatitis, or human immunodeficiency virus were excluded. Controlled attenuation parameter ≥302 dB/m using Youden's index defined NAFLD; vibration-controlled transient elastography liver stiffness cutoffs were ≤8.2, ≤9.7, ≤13.6, and >13.6 kPa for F0-F1, F2, F3, and F4, respectively. Predictive modeling, using six different machine-learning approaches with demographic and clinical data from NHANES, was applied. Age-adjusted prevalence of NAFLD and of NAFLD with F0-F1 and F2-F4 fibrosis was 25.3%, 18.9%, and 4.4%, respectively, in the overall population and 54.6%, 32.6%, and 18.3% in those with T2DM. The highest prevalence was among Mexican American participants. Test performance for all six machine-learning models was similar (area under the receiver operating characteristic curve, 0.79-0.84). Machine learning using logistic regression identified male sex, hemoglobin A1c, age, and body mass index among significant predictors of NAFLD (P ≤ 0.01). Conclusion: Data show a high prevalence of NAFLD with significant fibrosis (≥F2) in the general United States population, with greater prevalence in participants with T2DM. Using readily available, standard demographic and clinical data, machine-learning models could identify subjects with NAFLD across large data sets."
https://openalex.org/W2161386283,https://doi.org/10.1161/hy1001.092966,Cardiovascular Risk Assessment Using Pulse Pressure in the First National Health and Nutrition Examination Survey (NHANES I),2001,2001-10-01,article,195,673.64246,"Michaël Domanski, James E. Norman, Michael Wolz, et al.",Hypertension,True,4,predictive; classification; logistic regression; cox,S,2,cohort; survey,"Increased stiffness of the conduit arteries has been associated with increased risk of death and cardiovascular death in a number of populations. None of these populations, however, are fully representative of the US population. The cohort examined in the First National Health and Nutrition Examination Survey (NHANES I) that was free of overt cardiovascular disease was selected to be representative of the US population. We assessed and quantified the increased risk of death associated with elevated pulse pressure in this population. A cohort of 5771 subjects from NHANES I was used to determine the value of adding pulse pressure to standard cardiovascular disease risk factors for assessment of the risk of death during a mean follow-up period of 16.5 years. Analyses were performed by use of the SUDAAN statistical package for performing Cox proportional regression, logistic regression, and other standard methods in complex, weighted samples. Pulse pressure increased with increasing age, body mass index, cholesterol level, and mean arterial pressure. With increasing pulse pressure, the percentage of cigarette smokers decreased and the percentage of diabetics increased. Despite these associations with known risk factors, pulse pressure was independently predictive of an increased risk of death from cardiovascular disease, coronary heart disease, and all-cause mortality. It provides independent prognostic information beyond that provided by known risk factors that were evaluated in this study, including the Sixth Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure hypertension classification. A 10 mm Hg increase in pulse pressure in persons 25 to 45 of age was associated with a 26% increase in risk of cardiovascular death (95% confidence interval [CI], 5 to 50) and with an 10% increase (95% CI, 2 to 19) in persons 46 to 77 years of age. In a cohort designed to be representative of the US population, elevated pulse pressure has been shown to provide independent prognostic information. This variable may be a marker for the extent of vascular disease and may contribute to the occurrence of clinical events."
https://openalex.org/W3040176058,https://doi.org/10.1038/s41598-020-67640-z,An artificial neural network approach for predicting hypertension using NHANES data,2020,2020-06-30,article,97,516.6586,"Fernando Martínez, Edward Rolando Núñez‐Valdéz, Rubén González Crespo, et al.",Scientific Reports,True,4,classification; neural network; artificial neural network; auc,S,1,survey,"This paper focus on a neural network classification model to estimate the association among gender, race, BMI, age, smoking, kidney disease and diabetes in hypertensive patients. It also shows that artificial neural network techniques applied to large clinical data sets may provide a meaningful data-driven approach to categorize patients for population health management, and support in the control and detection of hypertensive patients, which is part of the critical factors for diseases of the heart. Data was obtained from the National Health and Nutrition Examination Survey from 2007 to 2016. This paper utilized an imbalanced data set of 24,434 with (69.71%) non-hypertensive patients, and (30.29%) hypertensive patients. The results indicate a sensitivity of 40%, a specificity of 87%, precision of 57.8% and a measured AUC of 0.77 (95% CI [75.01-79.01]). This paper showed results that are to some degree more effectively than a previous study performed by the authors using a statistical model with similar input features that presents a calculated AUC of 0.73. This classification model can be used as an inference agent to assist the professionals in diseases of the heart field, and can be implemented in applications to assist population health management programs in identifying patients with high risk of developing hypertension."
https://openalex.org/W2610586104,,Statistical issues in analyzing the NHANES I epidemiologic followup study,1994,1994-05-01,article,54,500.39847,"Deborah D. Ingram, Diane M. Makuc",NA,True,4,regression model; logistic regression; cox; cox proportional hazards,S,1,survey,This report presents alternative strategies for analysis of data from the NHANES I Epidemiological Followup Study (NHEFS) using Cox proportional hazards and person-time logistic regression models. Analytic issues related to the complex survey design of the NHANES I and the variable length of followup of NHEFS participants are discussed. (EXCERPT)
https://openalex.org/W2409693523,,Statistical issues in analyzing the NHANES I Epidemiologic Followup Study. Series 2: Data evaluation and methods research.,1994,1994-05-01,article,55,416.80997,"Deborah D. Ingram, Diane M. Makuc",PubMed,True,4,regression model; logistic regression; cox; cox proportional hazards,S,1,survey,This report presents alternative strategies for analysis of data from the NHANES I Epidemiologic Followup Study (NHEFS) using Cox proportional hazards and person-time logistic regression models. Analytic issues related to the complex survey design of the NHANES I and the variable length of followup of NHEFS participants are discussed.
https://openalex.org/W2922172644,https://doi.org/10.1371/journal.pone.0212963,"Comparison of triglyceride glucose index, and related parameters to predict insulin resistance in Korean adults: An analysis of the 2007-2010 Korean National Health and Nutrition Examination Survey",2019,2019-03-07,article,478,2376.7046,"Jinsook Lim, Jimyung Kim, Sun Hoe Koo, et al.",PLoS ONE,True,3,prediction; logistic regression; roc curve,S,1,survey,"The triglyceride glucose (TyG) index, a product of triglyceride and fasting glucose, is a reliable marker for insulin resistance (IR). Obesity is also known to be closely related with IR. Recently, the efficiency of TyG-related markers that combine obesity markers with TyG index has been studied; however, earlier studies were limited in number and the results were inconsistent. Therefore, in this study, we investigated the efficiency of several combinations of TyG index and obesity indices, namely, body mass index (BMI), waist circumference (WC), and waist-to-height ratio (WHtR), in reflecting IR. Data were obtained from the Korean National Health and Nutrition Examination Survey from 2007-2010. A total of 11,149 subjects (4,777 men and 6,372 women) were included. IR was defined as the homeostasis model assessment for IR (HOMA-IR) of above the 75th percentile for each gender. Logistic regression analysis was performed after adjusting for confounding factors, to compare and identify the associations of the 4 parameters (TyG index, TyG-BMI, TyG-WC, and TyG-WHtR) with IR. For each parameter, odds ratios (OR) and 95% confidence intervals (CIs) of quartiles 2-4 were calculated and compared with quartile 1 as a reference. A receiver operating characteristic (ROC) curve analysis was conducted to evaluate the ability of each parameter to predict IR. The adjusted ORs of quartile 4 in comparison with quartile 1 (95% CIs) for IR were 7.60 (6.52-8.87) for TyG index, 12.82 (10.89-15.10) for TyG-BMI, 16.29 (13.70-19.38) for TyG-WC, and 14.86 (12.53-17.62) for TyG-WHtR. The areas under the ROC curve for each parameter were 0.690 for TyG index, 0.748 for TyG-BMI, 0.731 for TyG-WC, and 0.733 for TyG-WHtR. In conclusion, TyG-BMI was found to be superior to other parameters for IR prediction. We propose TyG-BMI as an alternative marker for assessing IR in clinical settings."
https://openalex.org/W2025647045,https://doi.org/10.1080/14622200500185264,Active and passive smoking and blood lead levels in U.S. adults: Data from the Third National Health and Nutrition Examination Survey,2005,2005-08-01,article,60,1060.5177,"David M. Mannino, David M. Homa, Thomas Matte, et al.",Nicotine & Tobacco Research,True,3,regression model; logistic regression; linear regression,S,1,survey,"Lead is a component of tobacco and tobacco smoke. We examined the relationship between current, former, and passive smoking and blood lead levels in a nationally representative sample of 16,458 U.S. adults, aged 17 years or older, who participated in the Third National Health and Nutrition Examination Survey (1988-1994). We used linear and logistic regression modeling, adjusting for known covariates, to determine the relationship between smoking and blood lead levels. Geometric mean blood lead levels were 1.8 microg/dl, 2.1 microg/dl, and 2.3 microg/dl in never-smokers with no, low, and high cotinine levels, respectively. Levels were 2.9 microg/dl in former smokers and 3.5 microg/dl in current smokers. The adjusted linear regression model showed that geometric mean blood lead levels were 30% higher (95% CI = 24%-36%) in adults with high cotinine levels than they were in those with no detectable cotinine. Active and passive smoking is associated with increased blood lead levels in U.S. adults."
https://openalex.org/W2044587235,https://doi.org/10.1158/0008-5472.can-10-1420,Serum 25-Hydroxyvitamin D and Cancer Mortality in the NHANES III Study (1988–2006),2010,2010-09-17,article,137,661.03394,"D. Michal Freedman, Anne C. Looker, Christian C. Abnet, et al.",Cancer Research,True,3,regression model; cox; cox proportional hazards,S,1,survey,"Vitamin D has been hypothesized to protect against cancer. We followed 16,819 participants in NHANES III (Third National Health and Nutritional Examination Survey) from 1988 to 2006, expanding on an earlier NHANES III study (1988-2000). Using Cox proportional hazards regression models, we examined risk related to baseline serum 25-hydroxyvitamin D [25(OH)D] for total cancer mortality, in both sexes, and by racial/ethnic groups, as well as for site-specific cancers. Because serum was collected in the south in cooler months and in the north in warmer months, we examined associations by collection season (""summer/higher latitude"" and ""winter/lower latitude""). We identified 884 cancer deaths during 225,212 person-years. Overall cancer mortality risks were unrelated to baseline 25(OH)D status in both season/latitude groups, and in non-Hispanic whites, non-Hispanic blacks, and Mexican-Americans. In men, risks were elevated at higher levels {e.g., for ≥100 nmol/L, relative risk (RR) = 1.85 [95% confidence interval (CI), 1.02-3.35] compared with <37.5 nmol/L}. Although risks were unrelated to 25(OH)D in all women combined, risks significantly decreased with increasing 25(OH)D in the summer/higher latitude group [for ≥100 nmol/L, RR = 0.52 (95% CI, 0.25-1.15) compared with <37.5 nmol/L; P(trend) = 0.03, based on continuous values]. We also observed a suggestion of an inverse association with colorectal cancer mortality (P(trend) = 0.09) and a positive association with lung cancer mortality among males (P(trend) = 0.03). Our results do not support the hypothesis that 25(OH)D is associated with reduced cancer mortality. Although cancer mortality in females was inversely associated with 25(OH)D in the summer/higher latitude group, cancer mortality at some sites was increased among men with higher 25(OH)D. These findings argue for caution before increasing 25(OH)D levels to prevent cancer."
https://openalex.org/W2767288521,https://doi.org/10.1017/s0007114517002665,"Development and validation of anthropometric prediction equations for lean body mass, fat mass and percent fat in adults using the National Health and Nutrition Examination Survey (NHANES) 1999–2006",2017,2017-11-07,article,191,449.54834,"Dong Hoon Lee, NaNa Keum, Frank B. Hu, et al.",British Journal Of Nutrition,True,3,prediction model; prediction; predictive,S,1,survey,"Quantification of lean body mass and fat mass can provide important insight into epidemiological research. However, there is no consensus on generalisable anthropometric prediction equations to validly estimate body composition. We aimed to develop and validate practical anthropometric prediction equations for lean body mass, fat mass and percent fat in adults (men, n 7531; women, n 6534) from the National Health and Nutrition Examination Survey 1999-2006. Using a prediction sample, we predicted each of dual-energy X-ray absorptiometry (DXA)-measured lean body mass, fat mass and percent fat based on different combinations of anthropometric measures. The proposed equations were validated using a validation sample and obesity-related biomarkers. The practical equation including age, race, height, weight and waist circumference had high predictive ability for lean body mass (men: R 2=0·91, standard error of estimate (SEE)=2·6 kg; women: R 2=0·85, SEE=2·4 kg) and fat mass (men: R 2=0·90, SEE=2·6 kg; women: R 2=0·93, SEE=2·4 kg). Waist circumference was a strong predictor in men only. Addition of other circumference and skinfold measures slightly improved the prediction model. For percent fat, R 2 were generally lower but the trend in variation explained was similar. Our validation tests showed robust and consistent results with no evidence of substantial bias. Additional validation using biomarkers demonstrated comparable abilities to predict obesity-related biomarkers between direct DXA measurements and predicted scores. Moreover, predicted fat mass and percent fat had significantly stronger associations with obesity-related biomarkers than BMI did. Our findings suggest the potential application of the proposed equations in various epidemiological settings."
